class_cd,gender,lunch,pretest,posttest
Q0E,Male,free,30,48
Q0E,Female,free,38,53
Q0E,Female,free,38,50
Q0E,Female,free,36,55
Q0E,Female,free,37,57
Q0E,Female,free,35,59
Q0E,Male,free,41,54
Q0E,Male,free,37,53
Q0E,Female,free,37,54
Q0E,Female,free,39,49
Q0E,Male,free,37,53
Q0E,Female,pay,40,55
Q0E,Female,free,34,50
Q0E,Female,free,38,53
Q0E,Male,free,39,56
Q0E,Female,free,36,49
QA2,Female,free,46,49
QA2,Female,pay,43,52
QA2,Female,free,40,49
QA2,Female,free,45,51
QA2,Female,free,39,50
QA2,Male,free,39,51
QA2,Male,pay,43,53
QA2,Female,free,45,51
QA2,Female,free,44,53
QA2,Female,free,46,50
QA2,Male,free,44,54
QA2,Male,free,37,50
QA2,Female,free,41,52
QA2,Male,free,38,48
QA2,Male,free,40,53
QA2,Female,free,37,47
QA2,Female,free,38,52
QA2,Female,pay,45,57
QA2,Female,free,47,55
QA2,Female,free,44,52
QA2,Female,free,43,45
QA2,Male,free,37,46
QA2,Male,free,38,50
QA2,Male,free,41,51
QA2,Female,free,41,55
QA2,Female,free,45,53
QA2,Male,free,36,47
QA2,Female,free,42,50
QA2,Male,free,41,48
QA2,Female,free,36,48
ZBH,Male,free,41,46
ZBH,Female,free,43,52
ZBH,Female,free,39,54
ZBH,Female,free,38,49
ZBH,Female,free,42,51
ZBH,Female,free,36,43
ZBH,Male,free,36,53
ZBH,Male,free,40,48
ZBH,Female,free,42,48
ZBH,Female,free,39,49
ZBH,Female,free,40,47
ZBH,Female,pay,39,55
ZBH,Female,free,41,48
ZBH,Male,free,38,48
ZBH,Male,free,42,55
ZBH,Male,pay,46,53
ZBH,Male,free,41,49
ZBH,Female,free,42,50
ZBH,Male,pay,39,52
ZBH,Male,free,38,46
ZBH,Male,free,40,46
ZBH,Male,free,41,50
ZBH,Female,free,45,47
ZBH,Male,free,38,51
ZBH,Male,free,39,50
ZBH,Female,pay,39,55
ZBH,Female,free,38,46
ZBH,Female,free,45,51
ZBH,Male,free,46,53
ZBH,Male,free,41,48
YOU,Male,free,100,100
